index,blue,green,red,circle_area_ratio,rect_area_ratio,total_area_ratio
1,0.0,0.99609375,0.0,0.23772706271355018,0.7810479065462399,0.21013671875
2,0.0,0.99609375,0.0,0.23780992138862925,0.7791378103810236,0.2102099609375
3,0.0,0.99609375,0.0,0.23796827352322483,0.7812496221875642,0.21034993489583334
4,0.0,0.99609375,0.0,0.23801798872827226,0.7876693965097007,0.21039388020833333
5,0.0,0.99609375,0.0,0.2377638887913631,0.7811688979498007,0.21016927083333334
6,0.0,0.99609375,0.0,0.2376092192645488,0.7881801079866116,0.21003255208333332
7,0.0,0.99609375,0.0,0.23792592353373995,0.781701260125468,0.2103125
8,0.0,0.99609375,0.0,0.23872036432706364,0.7836117450174959,0.20958170572916668
9,0.0,0.99609375,0.0,0.23792592353373995,0.7820513596446101,0.2103125
10,0.0,0.99609375,0.0,0.23772338010576888,0.7786100255705118,0.21013346354166668
11,0.0,0.99609375,0.0,0.24108407913378438,0.7838577456298975,0.21165690104166668
12,0.0,0.99609375,0.0,0.23757055188284523,0.7815360199649886,0.20999837239583333
13,0.0,0.99609375,0.0,0.23765709316570563,0.7778018825854817,0.21007486979166667
14,0.0,0.99609375,0.0,0.2415186548653696,0.7922170631921199,0.21494303385416666
15,0.0,0.99609375,0.0,0.2434044667017623,0.7904529312521384,0.21809244791666665
16,0.0,0.99609375,0.0,0.23555775987052685,0.773749622175204,0.212490234375
17,0.0,0.99609375,0.0,0.2353105716334582,0.7739146431199412,0.21226725260416668
18,0.0,0.99609375,0.0,0.2380950633288223,0.7757102340435674,0.21189615885416666
19,0.0,0.16015625,0.0,0.24157524569539887,0.8099306934311015,0.21645345052083334
