blue,green,red,circle_area_ratio,rect_area_ratio,total_area_ratio
0.06666666666666667,0.09803921568627451,0.10196078431372549,0.5807227940844416,0.8051325556733828,0.061787109375
0.42745098039215684,0.5098039215686274,0.4196078431372549,0.7398978320859908,0.753998720409469,0.0115087890625
0.3607843137254902,0.38823529411764707,0.32941176470588235,0.8662380628310808,0.8735740754196033,0.07827473958333334
0.47058823529411764,0.17647058823529413,0.17647058823529413,0.698440287452863,0.9315789473684211,0.0077783203125
0.5176470588235295,0.3843137254901961,0.19607843137254902,0.8405927474341544,0.7814867424242424,0.0483544921875
0.47058823529411764,0.23921568627450981,0.08627450980392157,0.38558468062873485,0.805954757152362,0.03943196614583333
0.8470588235294118,0.7725490196078432,0.37254901960784315,0.5647099217778838,0.8983516483516484,0.0133056640625
0.8470588235294118,0.7725490196078432,0.37254901960784315,0.5595290968074446,0.9,0.01318359375
0.9725490196078431,0.9490196078431372,0.6627450980392157,0.6245918516154724,0.866297864984009,0.08156087239583333
0.6549019607843137,0.6941176470588235,0.5764705882352941,0.47450945894963237,0.4396230610996831,0.05148111979166667
0.12156862745098039,0.10196078431372549,0.11764705882352941,0.9415076787526868,0.8002390914524806,0.07626627604166666
0.08235294117647059,0.1450980392156863,0.1411764705882353,0.27553706225587965,0.8575926832524812,0.12545084635416667
0.4666666666666667,0.1411764705882353,0.16862745098039217,0.13733914253995722,0.41481446655461396,0.1148828125
0.49019607843137253,0.5137254901960784,0.5450980392156862,0.5850712546883731,0.7558686339838172,0.193857421875
0.6588235294117647,0.792156862745098,0.5764705882352941,0.8203193918394299,0.8055433455433455,0.05368977864583333
0.14901960784313725,0.21568627450980393,0.21568627450980393,0.7266896809025504,0.8468583989741711,0.015048828125
0.047058823529411764,0.22745098039215686,0.4627450980392157,0.49458020264802927,0.6736185202120273,0.12948079427083334
0.0,0.023529411764705882,0.047058823529411764,0.3831034313314206,0.8881849182360692,0.07461100260416667
0.8352941176470589,0.6509803921568628,0.4,0.8263982002266488,0.9086246278092752,0.14503092447916666
0.27058823529411763,0.32941176470588235,0.27058823529411763,0.6898183775377256,0.887502363395727,0.206279296875
